,Unnamed: 0, , .1,room1,room2
0,01/05/24:00,-1.58,55.1,2.0,
1,01/06/01:00,-1.59,55.5,2.0,
2,01/06/02:00,-1.59,55.9,2.0,
3,01/06/03:00,-1.6,56.3,2.0,
4,01/06/04:00,-1.61,56.7,2.0,
5,01/06/05:00,-1.61,57.0,2.0,
6,01/06/06:00,-1.62,57.3,2.0,
7,01/06/07:00,-1.62,57.6,2.0,
8,01/06/08:00,-1.63,57.8,2.0,
9,01/06/09:00,-1.63,57.8,2.0,
10,01/06/10:00,-1.61,57.1,2.0,
11,01/06/11:00,-1.59,55.6,2.0,
12,01/06/12:00,-1.56,53.9,2.0,
13,01/06/13:00,-1.54,53.3,2.0,
14,01/06/14:00,-1.52,51.8,2.0,
15,01/06/15:00,-1.5,50.7,2.0,
16,01/06/16:00,-1.48,49.7,2.0,
17,01/06/17:00,-1.46,48.9,2.0,
18,01/06/18:00,-1.45,48.4,2.0,
19,01/06/19:00,-1.45,48.2,2.0,
20,01/06/20:00,-1.46,48.5,2.0,
21,01/06/21:00,-1.47,49.0,2.0,
22,01/06/22:00,-1.47,49.5,2.0,
23,01/06/23:00,-1.48,49.7,2.0,
24,01/06/24:00,-1.48,49.8,2.0,
25,01/07/01:00,-1.48,50.1,2.0,
26,01/07/02:00,-1.49,50.2,2.0,
27,01/07/03:00,-1.49,50.5,2.0,
28,01/07/04:00,-1.5,51.2,2.0,
29,01/07/05:00,-1.52,51.8,2.0,
30,01/07/06:00,-1.53,52.3,2.0,
31,01/07/07:00,-1.54,53.0,2.0,
32,01/07/08:00,-1.55,53.9,2.0,
33,01/07/09:00,-1.56,54.0,2.0,
34,01/07/10:00,-1.54,52.9,2.0,
35,01/07/11:00,-1.51,51.2,2.0,
36,01/07/12:00,-1.48,49.8,2.0,
37,01/07/13:00,-1.45,48.3,2.0,
38,01/07/14:00,-1.44,47.4,2.0,
39,01/07/15:00,-1.42,46.6,2.0,
40,01/07/16:00,-1.41,46.2,2.0,
41,01/07/17:00,-1.41,46.2,2.0,
42,01/07/18:00,-1.42,46.8,2.0,
43,01/07/19:00,-1.44,47.9,2.0,
44,01/07/20:00,-1.47,49.0,2.0,
45,01/07/21:00,-1.49,50.4,2.0,
46,01/07/22:00,-1.51,51.7,2.0,
47,01/07/23:00,-1.54,53.2,2.0,
